ScripCode,TradingSymbol,Description,InstrumentType
22571,BAWEJA-SM,BAWEJA STUDIOS LIMITED,0
17927,BAYERCROP-EQ,BAYER CROPSCIENCE LTD,0
7196,BBETF0432-EQ,EDELAMC - BBETF0432,0
13761,BBL-EQ,BHARAT BIJLEE LTD,0
24117,BBNPNBETF-EQ,BARODABNP - BBNPNBETF,0
20547,BBNPPGOLD-EQ,BARODABNP - BBNPPGOLD,0
3435,BBOX-EQ,BLACK BOX LIMITED,0
380,BBTC-EQ,BOMBAY BURMAH TRADING COR,0
12153,BBTCL-EQ,B&B TRIPLEWALL CONT LTD,0
23580,BCG-BZ,BRIGHTCOM GROUP LIMITED,0
2513,BCLIND-EQ,BCL INDUSTRIES LIMITED,0
7780,BCONCEPTS-EQ,BRAND CONCEPTS LIMITED,0
2144,BDL-EQ,BHARAT DYNAMICS LIMITED,0
23922,BEACON-SM,BEACON TRUSTEESHIP LTD,0
17933,BEARDSELL-EQ,BEARDSELL LIMITED,0
1628,BECTORFOOD-EQ,MRS BECTORS FOOD SPE LTD,0
20196,BEDMUTHA-EQ,BEDMUTHA INDUST LTD,0
383,BEL-EQ,BHARAT ELECTRONICS LTD,0
395,BEML-EQ,BEML LIMITED,0
419,BEPL-EQ,BHANSALI ENG. POLYMERS LT,0
404,BERGEPAINT-EQ,BERGER PAINTS (I) LTD,0
2306,BESTAGRO-EQ,BEST AGROLIFE LIMITED,0
81,BETA-SM,BETA DRUGS LIMITED,0
5662,BEWLTD-SM,BEW ENGINEERING LIMITED,0
21113,BFINVEST-EQ,BF INVESTMENT LIMITED,0
5220,BFSI-EQ,MIRAEAMC - MAFSETF,0
14567,BFUTILITIE-EQ,BF UTILITIES LIMITED,0
11371,BGLOBAL-BZ,BHARATIYA GLOBAL INFO LTD,0
15193,BGRENERGY-BE,BGR ENERGY SYSTEMS LTD,0
6164,BHAGCHEM-EQ,BHAGIRADHA CHEM & INDS L,0
13400,BHAGERIA-EQ,BHAGERIA INDUSTRIES LTD,0
20776,BHAGYANGR-EQ,BHAGYANAGAR INDIA LIMITED,0
24359,BHANDA-RE1-BE,BHANDARI HOSIERY EXP LTD,0
19556,BHANDARI-EQ,BHANDARI HOSIERY EXP LTD,0
422,BHARATFORG-EQ,BHARAT FORGE LTD,0
426,BHARATGEAR-EQ,BHARAT GEARS LTD.,0
3834,BHARATRAS-EQ,BHARAT RASAYAN LTD,0
16123,BHARATWIRE-EQ,BHARAT WIRE ROPES LTD.,0
10604,BHARTIARTL-EQ,BHARTI AIRTEL LIMITED,0
23489,BHARTIHEXA-EQ,BHARTI HEXACOM LIMITED,0
438,BHEL-EQ,BHEL,0
23036,BHINVIT-IV,BHARAT HIGHWAYS INVIT,0
18431,BIGBLOC-EQ,BIGBLOC CONSTRUCTION LTD,0
11966,BIKAJI-EQ,BIKAJI FOODS INTERN LTD,0
7853,BIL-BE,BHARTIYA INETRNATIONAL LT,0
13622,BINANIIND-BE,BINANI INDUSTRIES LTD,0
11373,BIOCON-EQ,BIOCON LIMITED.,0
4136,BIOFILCHEM-EQ,BIOFIL CHEM & PHARMA LTD,0
23559,BIRDYS-SM,GRILL SPLENDOUR SER LTD,0
2203,BIRET-RR,BROOKFIELD INDIA RET,0
477,BIRLACABLE-EQ,BIRLA CABLE LIMITED,0
480,BIRLACORPN-EQ,BIRLA CORPORATION LTD,0
15239,BIRLAMONEY-EQ,ADITYA BIRLA MONEY LTD,0
5789,BKMINDST-BZ,BKM INDUSTRIES LIMITED,0
15067,BLAL-EQ,BEML LAND ASSETS LIMITED,0
8139,BLBLIMITED-BE,BLB LIMITED,0
19265,BLISSGVS-EQ,BLISS GVS PHARMA LTD,0
13290,BLKASHYAP-EQ,B.L.KASHYAP & SON LTD,0
17279,BLS-EQ,BLS INTL SERVS LTD,0
22566,BLSE-EQ,BLS E-SERVICES LIMITED,0
8650,BLUECHIP-BE,BLUE CHIP INDIA LIMITED,0
8552,BLUECOAST-BE,BLUE COAST HOTELS LIMITED,0
495,BLUEDART-EQ,BLUE DART EXPRESS LTD,0
19686,BLUEJET-EQ,BLUE JET HEALTHCARE LTD,0
23410,BLUEPEBBLE-SM,BLUE PEBBLE LIMITED,0
8311,BLUESTARCO-EQ,BLUE STAR LIMITED,0
6052,BMETRICS-SM,BOMBAY METRICS S C LTD,0
25017,BODALCHEM-EQ,BODAL CHEMICALS LTD,0
24266,BOHRAIND-BZ,BOHRA INDUSTRIES LIMITED,0
513,BOMDYEING-EQ,BOMBAY DYEING & MFG. CO L,0
19401,BOROLTD-EQ,BOROSIL LIMITED,0
